file_name,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
0,-419.27905,24.21722,2.5903478,8.350223,-10.811397,-3.8169026,-2.756404,-1.942865,-5.519989,-2.7007701,-5.213972,-5.5273275,-1.0755049
1,-420.4674,34.922726,-0.9970358,9.848597,-12.215329,-3.9356833,-3.0221648,-4.291572,-3.4043171,-4.71475,-5.4115667,-6.2229834,-2.4196777
2,-409.7084,24.678665,0.49576077,8.674292,-10.014466,-3.3900783,-0.5405127,-2.2528293,-4.8185687,-5.661503,-5.2412558,-5.7343082,-4.1376634
3,-369.89917,33.60154,0.9174243,10.976699,-13.190899,-5.241267,-1.0118263,-3.5260756,-6.1213484,-4.6045794,-6.5400786,-7.3679214,-3.0777214
4,-363.0235,33.39382,0.52352595,12.282429,-10.174501,-5.0516915,0.40356082,-3.7419348,-5.8963675,-5.6342735,-4.4379005,-8.099661,-1.3027563
5,-386.29196,37.509804,-6.015707,11.164813,-17.835522,-5.726859,6.0361714,-8.367918,-3.8725893,-8.039145,-8.784703,-7.088875,-7.7736864
6,-374.1438,39.39091,0.42969128,6.935748,-15.332044,-7.202158,2.0933034,-4.3102093,-7.4829397,-4.234986,-11.080443,-3.7526755,-8.383615
7,-359.8724,38.212566,-1.1065702,8.234532,-18.221897,-4.835892,3.921332,-6.627062,-6.2313094,-8.8239975,-8.998269,-7.8054013,-6.6526012
8,-395.08994,30.25065,-1.2656419,6.9671235,-10.633553,-4.916665,0.26190862,-4.284074,-4.5346484,-5.395535,-7.958392,-4.6683416,-2.7671416
9,-379.5734,38.132675,-0.9016559,11.77747,-13.888164,-9.175922,1.5531422,-3.9178524,-6.3313136,-5.3735576,-8.765353,-5.5141196,-5.116978
10,-387.8625,36.44403,1.978733,7.2416005,-15.1488695,-4.61126,-1.0790608,-7.9872036,-6.445333,-2.6488526,-9.922894,-5.1776953,-9.036357
11,-389.37357,39.05874,-2.6191463,5.785603,-15.853643,-3.6065712,-1.3338333,-4.91351,-5.325692,-3.5276945,-8.412336,-5.89624,-6.8595243
12,-366.08905,33.54968,-1.4412519,12.666315,-14.653078,-2.0760293,4.2583203,-6.1793127,-3.444584,-4.527451,-6.301709,-4.99129,-7.8451276
13,-351.8477,41.551247,-0.26545626,7.893535,-17.67246,-2.6443942,2.7236438,-8.821952,-5.610098,-4.0707994,-12.882101,-6.569356,-10.045726
14,-367.06873,36.65757,-0.7085909,7.9146767,-14.605027,-4.258388,3.6559274,-10.042268,-4.7886233,-5.7396955,-10.168491,-5.3532653,-9.663207
15,-356.8143,44.800407,-7.023566,11.578714,-16.388346,-5.252691,2.7594533,-6.5106993,-4.6788616,-8.045124,-9.664596,-10.991285,-7.0135164
16,-353.7208,45.889797,-1.2185218,10.679141,-12.199375,-6.713698,-3.2063994,-3.1156816,-6.080811,-7.9519076,-6.9426394,-9.295888,-5.5231504
17,-338.19977,48.933266,-2.1342409,7.9998693,-19.453886,-0.3790254,-0.12939972,-9.291709,-3.6994455,-9.285492,-7.005863,-8.373828,-7.435875
18,-352.4424,44.52578,-6.839586,-0.24584895,-10.9802885,1.4544426,-4.5075,-7.02333,-4.2123737,-7.540879,-5.270608,-8.553589,-6.008909
19,-346.08716,58.857075,-2.8135245,1.5756576,-15.976375,-0.18564773,-5.219031,-8.05333,-7.308173,-8.737916,-7.1555004,-10.427375,-9.053715
20,-380.1306,28.545444,2.9220347,8.360332,-14.620524,-6.4776416,-1.5809909,-5.963818,-7.5150433,-4.3416696,-9.640556,-6.0984,-5.0713573
21,-368.9012,43.699432,0.287994,13.833444,-12.914811,-3.199686,-3.6410146,-2.9485226,-4.2861156,-8.897344,-4.518425,-9.4921665,-1.3902088
22,-376.63403,23.218487,3.1991463,9.71954,-14.578763,-2.638906,1.4484191,-8.7014475,-4.258398,-10.500327,-4.774016,-6.316193,-7.1214967
23,-334.12143,40.78443,0.23941953,13.029586,-13.313769,2.625372,-2.188135,-6.1615705,-4.90016,-6.7008796,-6.075696,-8.568702,-2.819339
24,-375.1199,32.966156,-1.518394,13.433869,-15.955795,-1.3936697,-0.07657509,-7.0781555,-6.8928323,-4.4562306,-7.1377172,-5.0348396,-10.552999
25,-344.198,40.21585,-5.8157887,14.542485,-17.71533,-4.6563983,-0.30178615,-5.6415854,-6.5870743,-7.514636,-5.5665436,-11.308451,-5.6061926
26,-317.41248,52.176933,1.8102355,8.288168,-26.040329,2.196584,-0.27641782,-13.215495,-1.4777278,-9.042484,-10.548815,-12.935908,-8.242249
27,-340.22287,41.15473,-2.9793773,11.026465,-18.359169,-2.2488446,2.2205408,-8.0442705,-5.99026,-4.2251606,-10.076093,-9.631818,-7.6771016
28,-360.69592,40.739723,-6.0700545,6.3541083,-12.501592,-0.53441274,2.0357378,-8.111735,-4.6633,-3.5967486,-7.870091,-6.409035,-4.6518655
29,-448.55667,48.233543,-4.499067,16.011318,-16.624537,-0.3027615,-1.1719171,-5.6138988,-7.492925,-8.202726,-4.7750263,-7.982223,-4.2727313
30,-377.7565,41.57035,-1.8448498,5.254872,-9.952399,-4.8885417,-3.0367723,-7.2415233,-7.140499,-3.3069944,-7.9762793,-5.7116156,-3.1127002
31,-400.78265,47.454445,-3.361189,9.514223,-14.260363,-1.3322878,-2.5761383,-8.98057,-6.4350696,-4.1661754,-7.4937816,-4.512603,-5.508202
32,-390.31824,35.486874,0.315021,4.672169,-9.072558,0.028575473,-1.9513991,-4.4287353,-3.275127,-2.2545614,-6.281556,-3.9625516,-4.629892
33,-341.11902,54.19975,-3.1870117,6.768217,-15.632504,-4.1683545,1.3271753,-10.496786,-8.016798,-4.4527225,-7.8818307,-6.8536835,-8.746645
34,-343.081,53.177372,-0.29095381,2.7003763,-12.347397,0.09068065,-6.7954817,-4.9225936,-5.9664507,-7.1190743,-6.3175187,-7.8072853,-4.2566686
35,-335.79977,63.012974,-4.922944,7.7773857,-16.506243,-4.2151628,-0.5324821,-9.47416,-6.935801,-6.5449166,-7.9057517,-9.449446,-10.108823
36,-453.8347,52.541035,-3.2968552,12.628224,-13.030949,0.13594675,-1.9342134,-2.6874409,-4.62314,-8.30381,-6.9713507,-3.7686243,-4.6979704
37,-333.74576,47.864716,-3.687463,13.402662,-16.518091,-0.098711096,-2.0694983,-5.03176,-5.9497166,-8.6011915,-6.584147,-5.834125,-3.2747476
38,-362.2615,52.722122,-3.6758397,15.055079,-11.210679,-1.4889175,-2.1125655,-5.050214,-7.693305,-6.4699287,-8.281982,-7.7908525,-2.2235177
39,-343.80908,56.897087,-6.648922,16.606117,-14.109143,-3.7544172,-4.130391,-1.9600284,-9.090758,-9.35118,-6.5063467,-6.6432343,-4.821015
40,-390.11807,29.986446,1.8102432,7.3793726,-11.545595,-1.8874329,-2.7921169,-3.6860788,-5.900058,-0.7692445,-7.075628,-5.205415,-3.4729135
41,-406.52762,39.183567,-3.6321998,10.804138,-12.696934,-6.1520896,-1.430535,-5.609939,-4.8198633,-4.500941,-6.6734586,-6.652333,-3.397874
42,-413.96774,26.998062,-1.2796029,11.180767,-13.118814,-1.300596,0.7832514,-3.8387518,-3.8042405,-3.8526797,-7.1705937,-2.9475315,-6.58604
43,-337.2847,45.002308,-5.934565,15.355842,-15.216483,-4.5457373,-3.2071137,-5.387777,-4.5075684,-7.1183615,-5.5154324,-9.732601,-3.6701322
44,-409.16855,35.87224,-3.9716284,10.643594,-11.613538,-4.12549,-5.212695,-2.5840964,-3.3606992,-6.768069,-2.942891,-9.261762,-1.3492795
45,-354.76114,45.41939,-7.155346,12.153688,-18.98912,-4.2076054,6.7765512,-7.6597786,-5.269196,-8.342062,-7.2610307,-10.064972,-5.7909565
46,-354.86942,48.21903,-2.6137538,10.134806,-20.272982,-6.455689,1.4971626,-8.4211445,-10.307067,-6.3086424,-13.187136,-6.8290396,-8.960075
47,-385.62433,48.773445,-4.7607875,11.480427,-19.43156,-5.7529593,4.9329796,-9.098181,-7.7139363,-6.643116,-10.706694,-7.583521,-8.334593
48,-375.93735,36.662254,-2.4221506,7.870813,-13.637801,-3.2152786,1.179611,-5.654436,-4.6115694,-4.8217545,-7.9743886,-7.8206716,-3.824236
49,-381.26105,51.252872,-2.9549422,11.417103,-18.709354,-8.355824,4.499673,-9.423032,-8.858294,-6.7751403,-11.192372,-6.2143555,-9.108107
50,-370.9549,48.209816,0.004401602,15.490071,-13.406174,1.4482669,-2.9915774,-3.5483952,-5.7422853,-5.332939,-5.015507,-7.0293965,-2.1906774
51,-369.15872,41.552006,-4.779969,10.731231,-14.877871,2.101544,-5.3114853,-5.6522665,-4.8201375,-5.4597406,-5.813787,-6.710465,-3.2124414
52,-381.7755,34.0795,-2.791067,8.118204,-13.683545,2.3959403,-2.3159328,-4.684637,-6.1691265,-4.6900635,-6.6666694,-6.5531325,-3.7879665
53,-316.6201,46.28505,-5.3213286,15.461883,-18.738142,-0.22269401,-3.5961144,-5.919758,-9.216172,-7.081103,-6.059774,-11.266272,0.06672676
54,-359.4465,47.5429,-4.6998873,12.066818,-15.008907,0.4024978,-4.394649,-5.0557184,-7.4489264,-7.59231,-5.0621624,-9.372358,-3.3644204
55,-334.4299,46.786613,-8.408723,16.95728,-14.333353,2.6385083,-1.2878947,-4.6157074,-2.1907618,-7.623054,-5.264433,-7.5586557,-2.422548
56,-308.53967,47.911427,-4.8431373,12.030789,-19.936438,4.592603,-5.204254,-6.046072,-6.3242984,-8.507377,-7.4029045,-7.069901,-2.3598716
57,-315.8075,55.109806,-5.6453967,14.684112,-19.451176,3.2837365,-3.3129668,-8.516146,-4.8177376,-8.35784,-6.2895136,-9.105416,-3.285091
58,-363.71332,37.897015,-5.6995296,9.374316,-13.039353,3.031046,-3.839979,-5.706642,-5.5871444,-4.1406326,-5.1634507,-6.824643,-0.86920786
59,-314.4705,58.70134,-10.297205,15.81673,-17.728916,-1.180828,-4.853664,-3.6112158,-6.520691,-9.602304,-7.434896,-8.361712,-5.6691966
60,-392.07443,35.789124,0.38864604,8.06173,-16.059357,-0.79967076,-5.2713957,-5.217765,-7.0406966,-4.2132635,-5.341304,-6.5613604,-2.2792823
61,-383.45596,37.486874,-2.134867,9.393303,-15.018502,-1.0253402,-3.1865914,-8.486459,-5.712462,-3.4575653,-5.1161933,-4.657033,-5.6559186
62,-373.4524,36.95745,-0.53813213,7.811727,-11.849995,1.9208174,-0.40635303,-5.8545985,-4.2282124,-4.87076,-6.1046553,-6.378339,-6.9079933
